display,Image,Audio,randomise_block,gloomy_rating,upset_rating,scared_rating,sad_rating,anxious_rating,happy_rating,satisfied_rating,excited_rating,joyful_rating,relaxed_rating
Fixation_Music,,11_10.mp3,19,,,,,,,,,,
Ratings,,11_10.mp3,19,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,11_11.mp3,20,,,,,,,,,,
Ratings,,11_11.mp3,20,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,11_2.mp3,21,,,,,,,,,,
Ratings,,11_2.mp3,21,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,12_2.mp3,22,,,,,,,,,,
Ratings,,12_2.mp3,22,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,2_1.mp3,23,,,,,,,,,,
Ratings,,2_1.mp3,23,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,3_1.mp3,24,,,,,,,,,,
Ratings,,3_1.mp3,24,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,4_1.mp3,25,,,,,,,,,,
Ratings,,4_1.mp3,25,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,4_2.mp3,26,,,,,,,,,,
Ratings,,4_2.mp3,26,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,5_14.mp3,27,,,,,,,,,,
Ratings,,5_14.mp3,27,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,6_10.mp3,28,,,,,,,,,,
Ratings,,6_10.mp3,28,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,6_5.mp3,29,,,,,,,,,,
Ratings,,6_5.mp3,29,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,7_10.mp3,30,,,,,,,,,,
Ratings,,7_10.mp3,30,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,7_13.mp3,31,,,,,,,,,,
Ratings,,7_13.mp3,31,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
Fixation_Music,,8_2.mp3,32,,,,,,,,,,
Ratings,,8_2.mp3,32,gloomy,upset,scared,sad,anxious,happy,satisfied,excited,joyful,relaxed
End,,,,,,,,,,,,,
