"","Theme","quad"
"60","Crow 1","Low Arousal, High Valence"
"61","Crow 2","Low Arousal, High Valence"
"62","Cups 1","Low Arousal, High Valence"
"63","Cups 2","Low Arousal, High Valence"
"64","Cups 3","Low Arousal, High Valence"
"65","Cups 4","Low Arousal, High Valence"
"66","Desert 1","Low Arousal, High Valence"
"67","Dessert 2","Low Arousal, High Valence"
"68","Dessert 4","Low Arousal, High Valence"
"69","Dessert 7","Low Arousal, High Valence"
"70","Dirt 3","Low Arousal, High Valence"
"71","Dirt 4","Low Arousal, High Valence"
"72","Drink 1","Low Arousal, High Valence"
"73","Drink 2","Low Arousal, High Valence"
"74","Fence 1","Low Arousal, High Valence"
"75","Fence 2","Low Arousal, High Valence"
"76","Fence 3","Low Arousal, High Valence"
"77","Fence 5","Low Arousal, High Valence"
"78","Fence 6","Low Arousal, High Valence"
"79","Fire hydrant 1","Low Arousal, High Valence"
"80","Fire hydrant 2","Low Arousal, High Valence"
"81","Fire hydrant 3","Low Arousal, High Valence"
"82","Fire hydrant 4","Low Arousal, High Valence"
"83","Flowers 6","Low Arousal, High Valence"
"84","Flowers 10","Low Arousal, High Valence"
"85","Food 1","Low Arousal, High Valence"
"86","Food 2","Low Arousal, High Valence"
"87","Food 3","Low Arousal, High Valence"
"88","Food 5","Low Arousal, High Valence"
"89","Goat 1","Low Arousal, High Valence"
"90","Goat 2","Low Arousal, High Valence"
"91","Grass 1","Low Arousal, High Valence"
"92","Grass 2","Low Arousal, High Valence"
"93","Grass 3","Low Arousal, High Valence"
"94","Grass 4","Low Arousal, High Valence"
"95","Grass 5","Low Arousal, High Valence"
"96","Grass 6","Low Arousal, High Valence"
"97","Grass 7","Low Arousal, High Valence"
"98","Heart 1","Low Arousal, High Valence"
"99","Heart 2","Low Arousal, High Valence"
"100","Heart 3","Low Arousal, High Valence"
"101","House 1","Low Arousal, High Valence"
"102","Keyboard 1","Low Arousal, High Valence"
"103","Keyboard 2","Low Arousal, High Valence"
"104","Keyboard 3","Low Arousal, High Valence"
"105","Keys 1","Low Arousal, High Valence"
"106","Lake 3","Low Arousal, High Valence"
"107","Lake 4","Low Arousal, High Valence"
"108","Lake 6","Low Arousal, High Valence"
"109","Office supplies 1","Low Arousal, High Valence"
"110","Office supplies 2","Low Arousal, High Valence"
"111","Office supplies 3","Low Arousal, High Valence"
"112","Office supplies 4","Low Arousal, High Valence"
"113","Office supplies 5","Low Arousal, High Valence"
"114","Ornament 1","Low Arousal, High Valence"
"115","Paintbrush 1","Low Arousal, High Valence"
"116","Paper 1","Low Arousal, High Valence"
"117","Paper 2","Low Arousal, High Valence"
"118","Paper 3","Low Arousal, High Valence"
"119","Paper 4","Low Arousal, High Valence"
"120","Paper 5","Low Arousal, High Valence"
"121","Paperclips 1","Low Arousal, High Valence"
"122","Paperclips 2","Low Arousal, High Valence"
"123","Paperclips 3","Low Arousal, High Valence"
"124","Paperclips 4","Low Arousal, High Valence"
"125","Path 1","Low Arousal, High Valence"
"126","Phone 1","Low Arousal, High Valence"
"127","Pig 1","Low Arousal, High Valence"
"128","Pig 2","Low Arousal, High Valence"
"129","Pigeon 1","Low Arousal, High Valence"
"130","Pigeon 2","Low Arousal, High Valence"
"131","Pigeon 3","Low Arousal, High Valence"
"132","Pigeon 4","Low Arousal, High Valence"
"133","Pigeon 5","Low Arousal, High Valence"
"134","Pinecone 1","Low Arousal, High Valence"
"135","Pinecone 2","Low Arousal, High Valence"
"136","Pinecone 3","Low Arousal, High Valence"
"137","Pinecone 4","Low Arousal, High Valence"
"138","Power lines 1","Low Arousal, High Valence"
"139","Present 1","Low Arousal, High Valence"
"140","Present 2","Low Arousal, High Valence"
"141","Prison 1","Low Arousal, High Valence"
"142","Pumpkin 1","Low Arousal, High Valence"
"143","Railroad 1","Low Arousal, High Valence"
"144","Rocks 1","Low Arousal, High Valence"
"145","Rocks 2","Low Arousal, High Valence"
"146","Rocks 3","Low Arousal, High Valence"
"147","Rocks 4","Low Arousal, High Valence"
"148","Rocks 5","Low Arousal, High Valence"
"149","Rocks 6","Low Arousal, High Valence"
"150","Rocks 7","Low Arousal, High Valence"
"151","Roofing 1","Low Arousal, High Valence"
"152","Roofing 2","Low Arousal, High Valence"
"153","Roofing 3","Low Arousal, High Valence"
"154","Roofing 5","Low Arousal, High Valence"
"155","Sidewalk 1","Low Arousal, High Valence"
"156","Sidewalk 2","Low Arousal, High Valence"
"157","Sidewalk 3","Low Arousal, High Valence"
"158","Sidewalk 5","Low Arousal, High Valence"
"159","Sky 1","Low Arousal, High Valence"
"160","Skyscraper 1","Low Arousal, High Valence"
"161","Skyscraper 2","Low Arousal, High Valence"
"162","Snow 1","Low Arousal, High Valence"
"163","Snow 2","Low Arousal, High Valence"
"164","Snow 3","Low Arousal, High Valence"
"165","Snow 5","Low Arousal, High Valence"
"166","Soccer 1","Low Arousal, High Valence"
"167","Soccer 2","Low Arousal, High Valence"
"168","Socks 1","Low Arousal, High Valence"
"169","Solar panel 1","Low Arousal, High Valence"
"170","Soup 1","Low Arousal, High Valence"
"171","Statue 1","Low Arousal, High Valence"
"172","Storage 1","Low Arousal, High Valence"
"173","Storage 2","Low Arousal, High Valence"
"174","Storage 3","Low Arousal, High Valence"
"175","Street 1","Low Arousal, High Valence"
"176","Street 2","Low Arousal, High Valence"
"177","Street 3","Low Arousal, High Valence"
"178","Street 4","Low Arousal, High Valence"
"179","Street 5","Low Arousal, High Valence"
"180","Swingset 1","Low Arousal, High Valence"
"181","Timber 1","Low Arousal, High Valence"
"182","Timber 2","Low Arousal, High Valence"
"183","Timber 3","Low Arousal, High Valence"
"184","Timber 4","Low Arousal, High Valence"
"185","Toilet 1","Low Arousal, High Valence"
"186","Toilet 2","Low Arousal, High Valence"
"187","Toilet 3","Low Arousal, High Valence"
"188","Wall 1","Low Arousal, High Valence"
"189","Wall 2","Low Arousal, High Valence"
"190","Wall 3","Low Arousal, High Valence"
"191","Wall 4","Low Arousal, High Valence"
"192","Wall 5","Low Arousal, High Valence"
"193","Wedding 4","Low Arousal, High Valence"
"194","Wedding 7","Low Arousal, High Valence"
"195","Wedding 12","Low Arousal, High Valence"
"196","Woods 1","Low Arousal, High Valence"
"197","Yarn 2","Low Arousal, High Valence"
"198","Yarn 3","Low Arousal, High Valence"
"199","Yarn 4","Low Arousal, High Valence"
"200","Ambulance 1","High Arousal, Low Valence"
"201","Animal carcass 1","High Arousal, Low Valence"
"202","Animal carcass 2","High Arousal, Low Valence"
"203","Animal carcass 3","High Arousal, Low Valence"
"204","Animal carcass 5","High Arousal, Low Valence"
"205","Animal carcass 6","High Arousal, Low Valence"
"206","Bloody knife 1","High Arousal, Low Valence"
"207","Bloody knife 2","High Arousal, Low Valence"
"208","Car accident 1","High Arousal, Low Valence"
"209","Car accident 2","High Arousal, Low Valence"
"210","Car accident 3","High Arousal, Low Valence"
"211","Car accident 4","High Arousal, Low Valence"
"212","Car crash 1","High Arousal, Low Valence"
"213","Car crash 2","High Arousal, Low Valence"
"214","Car crash 3","High Arousal, Low Valence"
"215","Cat 7","High Arousal, Low Valence"
"216","Cemetery 4","High Arousal, Low Valence"
"217","Cemetery 5","High Arousal, Low Valence"
"218","Cockroach 1","High Arousal, Low Valence"
"219","Cockroach 2","High Arousal, Low Valence"
"220","Cockroach 3","High Arousal, Low Valence"
"221","Cockroach 4","High Arousal, Low Valence"
"222","Destruction 1","High Arousal, Low Valence"
"223","Destruction 4","High Arousal, Low Valence"
"224","Destruction 5","High Arousal, Low Valence"
"225","Destruction 6","High Arousal, Low Valence"
"226","Destruction 7","High Arousal, Low Valence"
"227","Destruction 8","High Arousal, Low Valence"
"228","Dirt 1","High Arousal, Low Valence"
"229","Dog 23","High Arousal, Low Valence"
"230","Dog 24","High Arousal, Low Valence"
"231","Dog 26","High Arousal, Low Valence"
"232","Dog 31","High Arousal, Low Valence"
"233","Dog attack 1","High Arousal, Low Valence"
"234","Dog attack 3","High Arousal, Low Valence"
"235","Dummy 1","High Arousal, Low Valence"
"236","Explosion 1","High Arousal, Low Valence"
"237","Explosion 2","High Arousal, Low Valence"
"238","Explosion 3","High Arousal, Low Valence"
"239","Explosion 4","High Arousal, Low Valence"
"240","Explosion 5","High Arousal, Low Valence"
"241","Explosion 6","High Arousal, Low Valence"
"242","Ferret 1","High Arousal, Low Valence"
"243","Fire 2","High Arousal, Low Valence"
"244","Fire 3","High Arousal, Low Valence"
"245","Fire 5","High Arousal, Low Valence"
"246","Fire 6","High Arousal, Low Valence"
"247","Fire 7","High Arousal, Low Valence"
"248","Fire 9","High Arousal, Low Valence"
"249","Fire 10","High Arousal, Low Valence"
"250","Fire 11","High Arousal, Low Valence"
"251","Flood 1","High Arousal, Low Valence"
"252","Flood 2","High Arousal, Low Valence"
"253","Flood 3","High Arousal, Low Valence"
"254","Funeral 1","High Arousal, Low Valence"
"255","Garbage dump 2","High Arousal, Low Valence"
"256","Garbage dump 4","High Arousal, Low Valence"
"257","Gargoyle 2","High Arousal, Low Valence"
"258","Gun 1","High Arousal, Low Valence"
"259","Gun 3","High Arousal, Low Valence"
"260","Gun 4","High Arousal, Low Valence"
"261","Gun 5","High Arousal, Low Valence"
"262","Gun 6","High Arousal, Low Valence"
"263","Gun 7","High Arousal, Low Valence"
"264","Gun 8","High Arousal, Low Valence"
"265","Gun 9","High Arousal, Low Valence"
"266","Gun 10","High Arousal, Low Valence"
"267","Jail 1","High Arousal, Low Valence"
"268","Jail 3","High Arousal, Low Valence"
"269","Knife 2","High Arousal, Low Valence"
"270","Memorial 2","High Arousal, Low Valence"
"271","Monkey 4","High Arousal, Low Valence"
"272","Opossum 1","High Arousal, Low Valence"
"273","Pigeon 6","High Arousal, Low Valence"
"274","Plane crash 1","High Arousal, Low Valence"
"275","Plane crash 2","High Arousal, Low Valence"
"276","Plane crash 3","High Arousal, Low Valence"
"277","Plane crash 4","High Arousal, Low Valence"
"278","Shark 4","High Arousal, Low Valence"
"279","Shark 10","High Arousal, Low Valence"
"280","Shot 1","High Arousal, Low Valence"
"281","Shot 3","High Arousal, Low Valence"
"282","Shot 5","High Arousal, Low Valence"
"283","Snake 1","High Arousal, Low Valence"
"284","Snake 2","High Arousal, Low Valence"
"285","Snake 3","High Arousal, Low Valence"
"286","Snake 4","High Arousal, Low Valence"
"287","Snake 5","High Arousal, Low Valence"
"288","Snake 6","High Arousal, Low Valence"
"289","Soldiers 10","High Arousal, Low Valence"
"290","Spider 1","High Arousal, Low Valence"
"291","Spider 2","High Arousal, Low Valence"
"292","Thunderstorm 1","High Arousal, Low Valence"
"293","Tornado 1","High Arousal, Low Valence"
"294","Tornado 3","High Arousal, Low Valence"
"295","Tornado 4","High Arousal, Low Valence"
"296","Tornado 5","High Arousal, Low Valence"
"297","Volcano 2","High Arousal, Low Valence"
"298","War 2 ","High Arousal, Low Valence"
"299","War 5","High Arousal, Low Valence"
"300","War 8","High Arousal, Low Valence"
"301","Weapon 1","High Arousal, Low Valence"
"302","Wolf 2","High Arousal, Low Valence"
"303","Alcohol 8","High Arousal, High Valence"
"304","Animal carcass 4","High Arousal, High Valence"
"305","Bar 2","High Arousal, High Valence"
"306","Beach 1","High Arousal, High Valence"
"307","Beach 2","High Arousal, High Valence"
"308","Beach 3","High Arousal, High Valence"
"309","Beach 6","High Arousal, High Valence"
"310","Beach 7","High Arousal, High Valence"
"311","Beach 8","High Arousal, High Valence"
"312","Bear 2","High Arousal, High Valence"
"313","Bear 3","High Arousal, High Valence"
"314","Bird 2","High Arousal, High Valence"
"315","Bird 5","High Arousal, High Valence"
"316","Camping 10","High Arousal, High Valence"
"317","Car 1","High Arousal, High Valence"
"318","Car race 3","High Arousal, High Valence"
"319","Cat 1","High Arousal, High Valence"
"320","Cat 2","High Arousal, High Valence"
"321","Cat 3","High Arousal, High Valence"
"322","Cat 5","High Arousal, High Valence"
"323","Cat 6","High Arousal, High Valence"
"324","Cat 13","High Arousal, High Valence"
"325","Cat 14","High Arousal, High Valence"
"326","Celebration 2","High Arousal, High Valence"
"327","Cemetery 2","High Arousal, High Valence"
"328","Chipmunk 2","High Arousal, High Valence"
"329","Chipmunk 3","High Arousal, High Valence"
"330","Coffee 1","High Arousal, High Valence"
"331","Dessert 3","High Arousal, High Valence"
"332","Dessert 5","High Arousal, High Valence"
"333","Dessert 6","High Arousal, High Valence"
"334","Dog 1","High Arousal, High Valence"
"335","Dog 2","High Arousal, High Valence"
"336","Dog 4","High Arousal, High Valence"
"337","Dog 5","High Arousal, High Valence"
"338","Dog 6","High Arousal, High Valence"
"339","Dog 7","High Arousal, High Valence"
"340","Dog 8","High Arousal, High Valence"
"341","Dog 9","High Arousal, High Valence"
"342","Dog 10","High Arousal, High Valence"
"343","Dog 12","High Arousal, High Valence"
"344","Dog 13","High Arousal, High Valence"
"345","Dog 14","High Arousal, High Valence"
"346","Dog 16","High Arousal, High Valence"
"347","Dog 17","High Arousal, High Valence"
"348","Dog 18","High Arousal, High Valence"
"349","Dog 19","High Arousal, High Valence"
"350","Dog 20","High Arousal, High Valence"
"351","Dog 21","High Arousal, High Valence"
"352","Dog 22","High Arousal, High Valence"
"353","Dog 27","High Arousal, High Valence"
"354","Dog 29","High Arousal, High Valence"
"355","Elephant 1","High Arousal, High Valence"
"356","Fire 4","High Arousal, High Valence"
"357","Fire 8","High Arousal, High Valence"
"358","Fireworks 1","High Arousal, High Valence"
"359","Fireworks 2","High Arousal, High Valence"
"360","Fireworks 3","High Arousal, High Valence"
"361","Fireworks 4","High Arousal, High Valence"
"362","Fireworks 5","High Arousal, High Valence"
"363","Fireworks 6","High Arousal, High Valence"
"364","Fireworks 7","High Arousal, High Valence"
"365","Flowers 1","High Arousal, High Valence"
"366","Flowers 3","High Arousal, High Valence"
"367","Flowers 4","High Arousal, High Valence"
"368","Flowers 8","High Arousal, High Valence"
"369","Flowers 9","High Arousal, High Valence"
"370","Galaxy 1","High Arousal, High Valence"
"371","Galaxy 2","High Arousal, High Valence"
"372","Galaxy 3","High Arousal, High Valence"
"373","Galaxy 4","High Arousal, High Valence"
"374","Galaxy 5","High Arousal, High Valence"
"375","Galaxy 6","High Arousal, High Valence"
"376","Galaxy 7","High Arousal, High Valence"
"377","Galaxy 8","High Arousal, High Valence"
"378","Gargoyle 1","High Arousal, High Valence"
"379","Happy pose 3","High Arousal, High Valence"
"380","Horse 1","High Arousal, High Valence"
"381","Horse racing 1","High Arousal, High Valence"
"382","Lake 1","High Arousal, High Valence"
"383","Lake 2","High Arousal, High Valence"
"384","Lake 5","High Arousal, High Valence"
"385","Lake 8","High Arousal, High Valence"
"386","Lake 9","High Arousal, High Valence"
"387","Lake 10","High Arousal, High Valence"
"388","Lake 11","High Arousal, High Valence"
"389","Lake 12","High Arousal, High Valence"
"390","Lake 13","High Arousal, High Valence"
"391","Lake 14","High Arousal, High Valence"
"392","Lake 15","High Arousal, High Valence"
"393","Lake 16","High Arousal, High Valence"
"394","Lamb 1","High Arousal, High Valence"
"395","Lava 1","High Arousal, High Valence"
"396","Lightning 1","High Arousal, High Valence"
"397","Lightning 2","High Arousal, High Valence"
"398","Lightning 3","High Arousal, High Valence"
"399","Lightning 4","High Arousal, High Valence"
"400","Lightning 5","High Arousal, High Valence"
"401","Lightning 6","High Arousal, High Valence"
"402","Lightning 7","High Arousal, High Valence"
"403","Lion 1","High Arousal, High Valence"
"404","Lion 2","High Arousal, High Valence"
"405","Lion 3","High Arousal, High Valence"
"406","Lion 4","High Arousal, High Valence"
"407","Lion 5","High Arousal, High Valence"
"408","Memorial 1","High Arousal, High Valence"
"409","Money 1","High Arousal, High Valence"
"410","Monkey 1","High Arousal, High Valence"
"411","Monkey 2","High Arousal, High Valence"
"412","Nature 1","High Arousal, High Valence"
"413","Parachuting 1","High Arousal, High Valence"
"414","Parasailing 1","High Arousal, High Valence"
"415","Parasailing 3","High Arousal, High Valence"
"416","Parasailing 4","High Arousal, High Valence"
"417","Penguins 1","High Arousal, High Valence"
"418","Penguins 2","High Arousal, High Valence"
"419","Performance 1","High Arousal, High Valence"
"420","Rainbow 1","High Arousal, High Valence"
"421","Rainbow 2","High Arousal, High Valence"
"422","Research 1","High Arousal, High Valence"
"423","Rollercoaster 1","High Arousal, High Valence"
"424","Rollercoaster 2","High Arousal, High Valence"
"425","Rollercoaster 3","High Arousal, High Valence"
"426","Rubber duck 1","High Arousal, High Valence"
"427","Sailing 1","High Arousal, High Valence"
"428","Sailing 2","High Arousal, High Valence"
"429","Satellite 1","High Arousal, High Valence"
"430","Scared cat 1","High Arousal, High Valence"
"431","Seal 1","High Arousal, High Valence"
"432","Shark 1","High Arousal, High Valence"
"433","Shark 2","High Arousal, High Valence"
"434","Shark 3","High Arousal, High Valence"
"435","Shark 6","High Arousal, High Valence"
"436","Shark 7","High Arousal, High Valence"
"437","Shark 8","High Arousal, High Valence"
"438","Shark 9","High Arousal, High Valence"
"439","Shark 11","High Arousal, High Valence"
"440","Skijump 1","High Arousal, High Valence"
"441","Skijump 2","High Arousal, High Valence"
"442","Skydiving 1","High Arousal, High Valence"
"443","Soldiers 1","High Arousal, High Valence"
"444","Soldiers 4","High Arousal, High Valence"
"445","Stingray 2","High Arousal, High Valence"
"446","Stingray 3","High Arousal, High Valence"
"447","Sun 1","High Arousal, High Valence"
"448","Sunflower 1","High Arousal, High Valence"
"449","Sunset 1","High Arousal, High Valence"
"450","Sunset 2","High Arousal, High Valence"
"451","Sunset 3","High Arousal, High Valence"
"452","Sunset 4","High Arousal, High Valence"
"453","Thunderstorm 2","High Arousal, High Valence"
"454","Thunderstorm 3","High Arousal, High Valence"
"455","Thunderstorm 5","High Arousal, High Valence"
"456","Thunderstorm 6","High Arousal, High Valence"
"457","Thunderstorm 7","High Arousal, High Valence"
"458","Thunderstorm 8","High Arousal, High Valence"
"459","Thunderstorm 9","High Arousal, High Valence"
"460","Thunderstorm 10","High Arousal, High Valence"
"461","Thunderstorm 11","High Arousal, High Valence"
"462","Tiger 1","High Arousal, High Valence"
"463","Tiger 2","High Arousal, High Valence"
"464","Traffic 1","High Arousal, High Valence"
"465","Volcano 1","High Arousal, High Valence"
"466","Volcano 3","High Arousal, High Valence"
"467","Waterfall 1","High Arousal, High Valence"
"468","Wedding 8","High Arousal, High Valence"
"469","Wolf 1","High Arousal, High Valence"
